TYPE=HEADER
|RECORD TYPE| |X(1)| 1,1 = 0.|
|RECORD DATE|REDT|9(8)|2,8|CCYYMMDD.|
#THE_FOLLOWING_FIELD_WAS_ADDED_FOR_VERSION_4.1|MULTIPLE ACCEPTANCE RECORDS|MUAC|X(1)|10,1|Set to ‘N’ If multiple Confirmation file records are not required per transaction. If a transaction has more than one error then ‘Y’ or Null will cause all these errors to appear in the Trade Upload Confirmation file.|
#_THE_FOLLOWING_ADDED_FOR_VERSION_5.2|CREATE_INVALID_SECURITIES|CRST|X(1)|11,1|Set to ‘Y’ will automatically create securities that are on transactions but missing from the Security Database. Please also see the External Comments field (position 237).|
|FILLER||X(3781)|12,3781||

TYPE=DETAIL
|RECORD TYPE||X(1)|1,1|= 1.|
|STATUS|STAT|X(1)|2,1|N-New, C-Cancelled, A-Amended, U- Update, T-Authorise (For Trade and Returns only) D-Pending Cancellation, E-Accept Pending Cancellation, X- Reject Pending Cancellation|
|TRANSACTION_TYPE|TDRE|X(1)|3,1|T-Trade, R-Return, A-Re-Allocation, P- Raise Priority, C-Cancel Crest Instruction, S-Split, M-Repo  , O-Repo Rollover, F–Full Return (only valid with STATUS = N)|
|POSTING_TYPE|TYPE|X(3)|4,3|Please see Note 1 at the end of the layout.|
|COUNTERPARTY_CODE|CNTP|X(6)|7,6||
|COUNTERPARTY_CROSS_REFERENCE|CXRF|X(10)|13,10||
|SECURITY_CODE_TYPE|SECT|X(1)|23,1|A-Sedol, B-ISIN, C-Cusip, D-Quick, E- Ticker, F-In-House Cross Reference Used to select one of the following security codes.|
|SEDOL|SEDL|X(12)|24,12||
|ISIN_CODE|ISIN|X(12)|36,12||
|CUSIP_CODE|CUSP|X(12)|48,12||
|QUICK_CODE|QUIK|X(12)|60,12||
|TICKER_CODE|TICK|X(12)|72,12||
|IN-HOUSE_CROSS_REFERENCE|IXRF|X(12)|84,12||
|CALLABLE|CALA|X(1)|96,1|Y/N.||
|COLLATERAL_TYPE|CLTY|X(1)|97,1|C-Cash, N-Non-Cash, P-Cash Pool.  Please note that this field will default to ‘C’ for repos and buy/sell backs.|
|QUANTITY|QUTY|S9(11)|98,12|Please see the Decimal Places notes within the Detail section. See note 3.|
|CURRENCY|CURR|X(3)|110,3|If not present this will default from the Counterparty Default Currency. From version 5.4 if there is no counterparty default currency it will default from the Security Pricing Currency.|
|LOAN_PRICE|LPRI|S9(9)v9(4)|113,14|Calculated from Loan Value and Quantity if not present. If Loan Price, Loan Value and Quantity are all present then the Loan Price will be reset to match the Loan Value divided by Quantity if this differs from the Loan Price present. Please see the Decimal Places notes within the Detail section. See note 3. LOAN VALUE LVAL S9(11)v9(2)|127,14|Calculated from Loan Price and Quantity if not present. See note 3.|
|REQUIRED_MARGIN|REQM|9(3)v9(2)|141,5|This is the trade margin, for Non-Cash, Cash and Cash Pool Trades.|
